City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-08-10 16:00:21,42.6001,-73.9662,84.15,74,45,7.23
1,Rikitea,PF,2021-08-10 16:03:47,-23.1203,-134.9692,69.84,66,2,17.2
2,Yzeure,FR,2021-08-10 16:03:48,46.5644,3.355,84.18,41,0,4.23
3,San Quintin,MX,2021-08-10 16:03:48,30.4833,-115.95,73.2,73,2,7.25
4,Barrow,US,2021-08-10 16:03:49,71.2906,-156.7887,37.42,75,90,6.91
5,Nuuk,GL,2021-08-10 16:00:27,64.1835,-51.7216,48.81,76,75,9.22
6,Arraial Do Cabo,BR,2021-08-10 16:03:49,-22.9661,-42.0278,72.64,74,30,16.87
7,Itarema,BR,2021-08-10 16:03:49,-2.9248,-39.9167,86.85,56,21,18.72
8,Komsomolskiy,UZ,2021-08-10 16:03:50,40.4272,71.7189,80.02,18,0,3.62
9,Yellowknife,CA,2021-08-10 16:03:50,62.456,-114.3525,48.81,84,84,17.92
10,Aguilar De La Frontera,ES,2021-08-10 16:03:51,37.5143,-4.6554,95.76,40,94,5.46
11,Pangnirtung,CA,2021-08-10 16:03:51,66.1451,-65.7125,44.6,81,90,8.05
12,Mataura,NZ,2021-08-10 16:03:51,-46.1927,168.8643,43.48,98,41,1.5
13,Hilo,US,2021-08-10 15:59:26,19.7297,-155.09,74.8,94,90,9.22
14,Ancud,CL,2021-08-10 16:03:52,-41.8697,-73.8203,53.42,67,17,3.11
15,Olafsvik,IS,2021-08-10 16:03:52,64.8945,-23.7142,57.34,80,79,6.58
16,Xining,CN,2021-08-10 16:03:53,36.6167,101.7667,62.2,62,100,4.12
17,Te Anau,NZ,2021-08-10 16:03:53,-45.4167,167.7167,43.12,94,83,4.5
18,Lethem,GY,2021-08-10 16:03:54,3.3803,-59.7968,86.23,65,38,3.4
19,Marsabit,KE,2021-08-10 16:03:54,2.3284,37.9899,74.52,42,45,12.48
20,Ayagoz,KZ,2021-08-10 16:03:54,47.9714,80.4392,60.51,75,89,7.96
21,Vaini,TO,2021-08-10 16:03:56,-21.2,-175.2,68.16,77,75,14.97
22,Lufilufi,WS,2021-08-10 16:03:57,-13.8745,-171.5986,81.12,77,13,17.07
23,Denpasar,ID,2021-08-10 15:59:59,-8.65,115.2167,78.46,83,20,11.5
24,Kosonsoy,UZ,2021-08-10 16:03:57,41.2561,71.5508,75.76,22,0,3.65
25,College,US,2021-08-10 16:03:57,64.8569,-147.8028,52.23,95,100,1.61
26,Khatanga,RU,2021-08-10 16:03:58,71.9667,102.5,56.46,77,81,9.66
27,Hithadhoo,MV,2021-08-10 16:03:59,-0.6,73.0833,81.88,67,39,4.45
28,Kieta,PG,2021-08-10 16:03:59,-6.2167,155.6333,78.78,81,21,4.9
29,Saint-Philippe,RE,2021-08-10 16:03:59,-21.3585,55.7679,72.99,85,51,8.34
30,Acapulco,MX,2021-08-10 15:59:39,16.8634,-99.8901,76.66,91,100,5.77
31,Cape Town,ZA,2021-08-10 16:04:00,-33.9258,18.4232,54.88,81,0,1.01
32,Voh,NC,2021-08-10 16:04:00,-20.9667,164.7,60.71,75,28,6.53
33,Codrington,AU,2021-08-10 16:04:01,-38.2667,141.9667,59.14,58,90,24.11
34,Halifax,CA,2021-08-10 16:00:00,44.6453,-63.5724,74.52,83,90,4.61
35,Butaritari,KI,2021-08-10 16:04:01,3.0707,172.7902,82.62,69,71,14.05
36,Tasiilaq,GL,2021-08-10 16:04:01,65.6145,-37.6368,50.16,94,100,13.44
37,Pericos,MX,2021-08-10 16:04:02,25.05,-107.7,84.11,77,100,8.08
38,Faanui,PF,2021-08-10 16:04:02,-16.4833,-151.75,78.94,74,14,15.82
39,Katsuura,JP,2021-08-10 16:04:03,35.1333,140.3,84.31,84,12,5.06
40,Puerto Ayora,EC,2021-08-10 16:04:03,-0.7393,-90.3518,71.55,90,95,5.99
41,Gushikawa,JP,2021-08-10 16:04:04,26.3544,127.8686,81.99,94,90,11.5
42,New Norfolk,AU,2021-08-10 16:04:04,-42.7826,147.0587,58.91,64,40,11.36
43,Leningradskiy,RU,2021-08-10 16:04:04,69.3833,178.4167,34.29,94,97,11.5
44,Punta Arenas,CL,2021-08-10 16:00:44,-53.15,-70.9167,39.9,61,33,18.1
45,Mizdah,LY,2021-08-10 16:04:05,31.4451,12.9801,102.51,11,0,14.83
46,Puerto Padre,CU,2021-08-10 16:04:05,21.195,-76.6028,92.41,57,38,14.76
47,Port Alfred,ZA,2021-08-10 16:04:06,-33.5906,26.891,58.62,66,0,10.83
48,Hobart,AU,2021-08-10 16:02:32,-42.8794,147.3294,59.25,60,25,5.01
49,Pacific Grove,US,2021-08-10 16:04:06,36.6177,-121.9166,62.42,91,90,3.0
50,Bredasdorp,ZA,2021-08-10 16:04:07,-34.5322,20.0403,54.28,81,0,5.12
51,Vao,NC,2021-08-10 16:04:07,-22.6667,167.4833,65.66,65,100,20.09
52,Isangel,VU,2021-08-10 16:04:07,-19.55,169.2667,68.77,73,100,16.11
53,Nanortalik,GL,2021-08-10 16:04:08,60.1432,-45.2371,49.23,60,43,3.33
54,Bemidji,US,2021-08-10 16:01:01,47.4736,-94.8803,80.15,53,1,13.8
55,Kapaa,US,2021-08-10 16:04:08,22.0752,-159.319,79.12,77,40,10.36
56,Atuona,PF,2021-08-10 16:04:08,-9.8,-139.0333,78.6,65,68,20.18
57,Yatou,CN,2021-08-10 16:04:09,37.15,122.3833,75.87,92,100,9.04
58,Saint-Pierre,RE,2021-08-10 16:04:09,-21.3393,55.4781,73.08,80,75,4.61
59,Caucaia,BR,2021-08-10 16:04:10,-3.7361,-38.6531,87.75,58,20,14.97
60,Hamilton,US,2021-08-10 15:59:12,39.1834,-84.5333,81.37,88,75,4.61
61,Lazarev,RU,2021-08-10 16:04:11,52.225,141.5131,56.21,70,2,1.99
62,Pandan,PH,2021-08-10 16:04:12,14.0453,124.1694,79.03,86,96,7.36
63,Ushuaia,AR,2021-08-10 16:02:55,-54.8,-68.3,35.78,71,62,10.45
64,Gweta,BW,2021-08-10 16:04:12,-20.1833,25.2333,76.82,16,0,9.53
65,Murray Bridge,AU,2021-08-10 16:04:13,-35.1167,139.2667,66.83,29,100,14.74
66,Chuy,UY,2021-08-10 16:04:13,-33.6971,-53.4616,53.71,76,94,9.98
67,Bluff,NZ,2021-08-10 16:04:13,-46.6,168.3333,43.81,85,22,12.01
68,Saint George,US,2021-08-10 16:00:30,37.1041,-113.5841,89.44,27,1,1.99
69,Huadian,CN,2021-08-10 16:04:14,42.9633,126.7478,62.51,97,96,3.38
70,Khani,GE,2021-08-10 16:04:14,41.9563,42.9566,71.17,93,74,2.59
71,Sola,VU,2021-08-10 16:04:15,-13.8833,167.55,78.28,71,98,27.0
72,Fortuna,US,2021-08-10 16:04:15,40.5982,-124.1573,55.74,54,2,2.53
73,Pa Sang,TH,2021-08-10 16:04:15,18.5262,98.9394,84.4,82,100,1.5
74,Chokurdakh,RU,2021-08-10 16:04:16,70.6333,147.9167,40.32,84,9,8.43
75,Jamestown,US,2021-08-10 16:04:16,42.097,-79.2353,79.52,82,75,7.0
76,Leh,IN,2021-08-10 16:04:16,34.1667,77.5833,62.83,45,86,6.62
77,Alihe,CN,2021-08-10 16:04:17,50.5667,123.7167,56.12,95,100,2.93
78,Sikasso,ML,2021-08-10 16:04:17,10.9167,-7.0,82.18,77,85,4.29
79,Avarua,CK,2021-08-10 16:04:18,-21.2078,-159.775,69.85,100,14,3.44
80,Port Elizabeth,ZA,2021-08-10 16:03:19,-33.918,25.5701,57.09,62,0,7.83
81,Rocha,UY,2021-08-10 16:04:18,-34.4833,-54.3333,52.12,77,95,14.05
82,Namibe,AO,2021-08-10 16:04:18,-15.1961,12.1522,70.97,82,6,9.91
83,Klaksvik,FO,2021-08-10 16:04:19,62.2266,-6.589,52.72,93,99,2.37
84,Plaster Rock,CA,2021-08-10 16:04:19,46.9065,-67.39,82.56,61,80,8.77
85,Bathsheba,BB,2021-08-10 16:04:19,13.2167,-59.5167,84.83,72,73,14.83
86,Liverpool,GB,2021-08-10 16:03:43,53.4106,-2.9779,71.29,67,40,4.0
87,Pastavy,BY,2021-08-10 16:04:20,55.1168,26.8326,71.55,64,67,3.65
88,Trelew,AR,2021-08-10 15:59:45,-43.249,-65.3051,55.8,38,7,23.58
89,Auki,SB,2021-08-10 16:04:20,-8.7676,160.7034,76.26,89,11,4.5
90,Kudahuvadhoo,MV,2021-08-10 16:04:21,2.6708,72.8944,82.6,74,85,12.3
91,Lebu,CL,2021-08-10 16:04:21,-37.6167,-73.65,50.13,64,2,18.95
92,Mareeba,AU,2021-08-10 16:04:21,-17.0,145.4333,65.12,92,52,2.66
93,Longyearbyen,SJ,2021-08-10 16:04:22,78.2186,15.6401,49.84,71,0,6.91
94,Bambous Virieux,MU,2021-08-10 16:04:22,-20.3428,57.7575,71.22,84,48,6.55
95,Acajutla,SV,2021-08-10 16:04:22,13.5928,-89.8275,91.74,61,82,3.87
96,Nikolskoye,RU,2021-08-10 16:04:23,59.7035,30.7861,71.49,64,91,4.43
97,Tete,MZ,2021-08-10 16:04:23,-16.1564,33.5867,78.62,23,0,8.63
98,Sovetskiy,RU,2021-08-10 16:04:23,61.3614,63.5842,60.03,65,67,6.69
99,Atar,MR,2021-08-10 16:04:23,20.5169,-13.0499,106.12,11,30,11.9
100,Fort-Shevchenko,KZ,2021-08-10 16:04:24,44.5086,50.263,87.6,46,6,12.71
101,Vardo,NO,2021-08-10 16:04:24,70.3705,31.1107,62.35,94,75,2.3
102,Hermanus,ZA,2021-08-10 16:04:24,-34.4187,19.2345,54.81,66,0,2.35
103,Mayumba,GA,2021-08-10 16:04:25,-3.432,10.6554,76.21,79,69,8.23
104,Lumberton,US,2021-08-10 16:01:38,34.6182,-79.0086,89.98,54,99,3.69
105,Cayenne,GF,2021-08-10 16:00:57,4.9333,-52.3333,86.04,70,75,5.75
106,Namatanai,PG,2021-08-10 16:04:25,-3.6667,152.4333,78.94,80,14,7.83
107,Lagoa,PT,2021-08-10 16:04:26,39.05,-27.9833,72.21,84,57,15.17
108,Erenhot,CN,2021-08-10 16:04:26,43.6475,111.9767,72.39,29,0,5.68
109,Caravelas,BR,2021-08-10 16:04:26,-17.7125,-39.2481,77.45,61,5,8.37
110,Dikson,RU,2021-08-10 16:04:27,73.5069,80.5464,40.19,91,100,15.77
111,Marzuq,YE,2021-08-10 16:04:27,14.4,46.4667,87.28,37,84,10.45
112,Urusha,RU,2021-08-10 16:04:27,54.05,122.9,57.18,79,100,1.92
113,Greeley,US,2021-08-10 16:04:27,40.4233,-104.7091,86.27,53,1,4.61
114,Altay,CN,2021-08-10 16:04:28,47.8667,88.1167,62.56,48,58,4.03
115,Eureka,US,2021-08-10 16:04:28,40.8021,-124.1637,56.01,69,0,3.02
116,Batagay-Alyta,RU,2021-08-10 16:04:28,67.8006,130.4114,62.65,36,90,1.03
117,Amos,CA,2021-08-10 16:01:38,48.5669,-78.1162,75.47,99,100,5.39
118,Sirsilla,IN,2021-08-10 16:00:25,18.3833,78.8333,80.08,82,100,4.43
119,Kyshtovka,RU,2021-08-10 16:04:29,56.555,76.6271,59.07,97,100,8.32
120,Grand Gaube,MU,2021-08-10 16:04:29,-20.0064,57.6608,71.38,82,9,5.01
121,Vila Do Maio,CV,2021-08-10 16:04:30,15.1333,-23.2167,84.99,77,95,11.18
122,Westport,US,2021-08-10 16:04:30,41.1415,-73.3579,83.08,86,90,1.01
123,Labuhan,ID,2021-08-10 16:04:30,-6.8844,112.2051,77.97,77,47,7.56
124,Quatre Cocos,MU,2021-08-10 16:04:31,-20.2078,57.7625,71.1,83,41,5.84
125,Busselton,AU,2021-08-10 16:04:31,-33.65,115.3333,44.1,68,92,11.18
126,Borogontsy,RU,2021-08-10 16:04:31,62.6683,131.1683,63.12,57,78,4.81
127,Havelock,US,2021-08-10 16:04:32,34.8791,-76.9013,88.99,75,22,1.01
128,Pisco,PE,2021-08-10 16:04:32,-13.7,-76.2167,64.02,79,42,6.58
129,Muli,MV,2021-08-10 16:04:32,2.9167,73.5667,82.78,74,100,12.91
130,Seguela,CI,2021-08-10 16:04:33,7.9611,-6.6731,82.99,67,93,3.89
131,Akyab,MM,2021-08-10 16:04:33,20.15,92.9,82.35,85,75,4.0
132,Castro,BR,2021-08-10 16:04:33,-24.7911,-50.0119,75.7,38,37,9.19
133,Goderich,CA,2021-08-10 16:04:18,43.7501,-81.7165,76.91,95,100,17.05
134,Magdalena,PH,2021-08-10 16:04:34,14.1999,121.429,81.19,94,100,2.1
135,Armidale,AU,2021-08-10 16:04:34,-30.5167,151.65,39.83,88,0,4.14
136,Luau,AO,2021-08-10 16:04:34,-10.7073,22.2247,84.22,14,0,2.55
137,Rio Gallegos,AR,2021-08-10 16:01:45,-51.6226,-69.2181,40.66,57,8,18.3
138,Beloha,MG,2021-08-10 16:04:35,-25.1667,45.05,65.34,57,0,7.09
139,Mar Del Plata,AR,2021-08-10 16:03:03,-38.0023,-57.5575,47.01,57,30,9.01
140,Tuatapere,NZ,2021-08-10 16:04:35,-46.1333,167.6833,43.83,94,11,5.14
141,Bolgar,RU,2021-08-10 16:04:36,54.95,49.0667,74.07,70,7,2.55
142,Shahr-E Babak,IR,2021-08-10 16:04:36,30.1165,55.1186,83.01,8,0,15.95
143,Nome,US,2021-08-10 16:04:36,64.5011,-165.4064,44.67,87,75,3.44
144,Broken Hill,AU,2021-08-10 16:04:36,-31.95,141.4333,56.01,33,0,13.94
145,Zhigansk,RU,2021-08-10 16:04:37,66.7697,123.3711,61.23,95,82,6.96
146,Madang,PG,2021-08-10 16:04:37,-5.2246,145.7966,75.61,92,98,2.64
147,Norman Wells,CA,2021-08-10 16:04:37,65.282,-126.8329,47.34,89,100,4.88
148,Ribeira Grande,PT,2021-08-10 16:04:38,38.5167,-28.7,79.2,69,20,13.8
149,Basoko,CD,2021-08-10 16:04:38,1.2391,23.616,82.02,62,68,5.17
150,Kodiak,US,2021-08-10 16:04:38,57.79,-152.4072,60.31,59,75,0.0
151,Warmbad,NA,2021-08-10 16:04:39,-28.45,18.7333,64.18,20,0,12.71
152,Talnakh,RU,2021-08-10 16:04:39,69.4865,88.3972,49.1,84,100,8.5
153,Bowen,AU,2021-08-10 16:04:39,-20.0167,148.2333,64.62,84,40,14.23
154,Narsaq,GL,2021-08-10 16:04:40,60.9167,-46.05,61.02,39,56,2.48
155,Qaanaaq,GL,2021-08-10 16:04:40,77.484,-69.3632,42.26,53,94,10.56
156,Mount Gambier,AU,2021-08-10 16:04:40,-37.8333,140.7667,54.9,87,100,14.47
157,Ponta Do Sol,PT,2021-08-10 16:04:41,32.6667,-17.1,78.01,75,55,4.54
158,Sobolevo,RU,2021-08-10 16:04:41,54.4299,31.8996,71.82,78,49,8.5
159,Belaya Gora,RU,2021-08-10 16:04:41,68.5333,146.4167,57.58,67,11,5.48
160,Kenai,US,2021-08-10 16:04:42,60.5544,-151.2583,52.03,90,40,4.61
161,Vostok,RU,2021-08-10 16:04:42,46.4856,135.8833,48.87,78,93,4.18
162,Ati,TD,2021-08-10 16:04:42,13.2154,18.3353,88.83,47,94,2.71
163,Severo-Kurilsk,RU,2021-08-10 16:04:43,50.6789,156.125,51.66,86,42,2.57
164,Padang,ID,2021-08-10 16:00:50,-0.9492,100.3543,77.54,86,99,3.67
165,Severnoye,RU,2021-08-10 16:04:43,56.3491,78.3619,61.95,98,100,9.66
166,Sao Geraldo Do Araguaia,BR,2021-08-10 16:04:44,-6.4006,-48.555,100.02,18,2,5.37
167,Comodoro Rivadavia,AR,2021-08-10 16:04:44,-45.8667,-67.5,55.26,41,0,13.8
168,Cabo San Lucas,MX,2021-08-10 16:04:44,22.8909,-109.9124,81.05,93,90,1.99
169,Nyurba,RU,2021-08-10 16:04:45,63.2842,118.3319,55.06,83,77,4.99
170,Pakxe,LA,2021-08-10 16:04:45,15.1167,105.7833,77.38,95,100,3.91
171,Chapais,CA,2021-08-10 16:04:45,49.7834,-74.8492,67.5,94,100,7.36
172,Rosetta,EG,2021-08-10 16:04:46,31.4044,30.4164,82.69,69,0,12.48
173,Gursarai,IN,2021-08-10 16:04:46,25.6148,79.1788,83.39,79,96,12.21
174,Georgetown,MY,2021-08-10 16:01:36,5.4112,100.3354,82.33,76,20,0.0
175,Isabela,PH,2021-08-10 16:04:47,6.7085,121.9711,77.83,87,96,5.46
176,Luwuk,ID,2021-08-10 16:04:47,-0.9516,122.7875,76.73,86,54,4.83
177,Novopokrovka,UA,2021-08-10 16:04:47,49.8425,36.5477,79.18,30,54,8.21
178,Saint-Hyacinthe,CA,2021-08-10 16:04:48,45.6168,-72.9491,89.06,72,10,8.34
179,Bethel,US,2021-08-10 16:04:48,41.3712,-73.414,80.49,87,90,1.01
180,San Carlos De Bariloche,AR,2021-08-10 16:04:48,-41.1456,-71.3082,40.75,60,0,0.0
181,Luderitz,NA,2021-08-10 16:04:49,-26.6481,15.1594,68.99,43,5,6.06
182,Arkhipo-Osipovka,RU,2021-08-10 16:04:49,44.37,38.52,75.92,82,74,3.29
183,Tuktoyaktuk,CA,2021-08-10 16:04:49,69.4541,-133.0374,42.57,76,100,11.48
184,Angoche,MZ,2021-08-10 16:04:50,-16.2325,39.9086,73.56,66,22,12.08
185,Hovd,MN,2021-08-10 16:04:50,48.0056,91.6419,70.36,39,100,2.77
186,Boguchany,RU,2021-08-10 16:04:50,58.3814,97.4531,66.31,67,93,2.21
187,North Bend,US,2021-08-10 16:04:51,43.4065,-124.2243,66.94,100,90,3.44
188,Boa Vista,BR,2021-08-10 16:04:51,2.8197,-60.6733,84.18,65,75,4.61
189,Lahaina,US,2021-08-10 16:04:51,20.8783,-156.6825,74.95,80,6,3.36
190,Havre-Saint-Pierre,CA,2021-08-10 16:04:52,50.2334,-63.5986,64.76,94,90,5.75
191,Jardim,BR,2021-08-10 16:00:31,-21.4803,-56.1381,75.34,46,62,6.49
192,Carnarvon,AU,2021-08-10 16:04:52,-24.8667,113.6333,60.53,54,0,18.57
193,Outjo,NA,2021-08-10 16:04:52,-20.1167,16.15,79.27,13,37,9.22
194,Tiksi,RU,2021-08-10 16:04:53,71.6872,128.8694,55.85,68,60,5.7
195,Woodward,US,2021-08-10 16:02:49,36.4337,-99.3904,90.63,51,1,17.27
196,Touros,BR,2021-08-10 16:04:53,-5.1989,-35.4608,81.5,63,34,18.12
197,Laguna Beach,US,2021-08-10 16:04:53,33.5423,-117.7831,84.2,84,75,5.01
198,Hervey Bay,AU,2021-08-10 16:04:54,-25.2986,152.8535,61.03,64,48,10.63
199,Vilhena,BR,2021-08-10 16:04:54,-12.7406,-60.1458,93.96,20,36,2.64
200,Hermiston,US,2021-08-10 16:00:55,45.8404,-119.2895,82.11,28,47,5.17
201,Geraldton,AU,2021-08-10 16:04:55,-28.7667,114.6,52.21,76,75,8.05
202,San Patricio,US,2021-08-10 16:04:55,28.017,-97.5169,91.49,54,0,15.3
203,Bjornevatn,NO,2021-08-10 16:04:55,69.6672,29.9847,59.34,94,75,2.3
204,Clyde River,CA,2021-08-10 16:04:56,70.4692,-68.5914,35.58,98,99,7.29
205,Pattani,TH,2021-08-10 16:04:56,6.75,100.4167,78.51,97,100,3.27
206,San Policarpo,PH,2021-08-10 16:04:56,12.1791,125.5072,79.56,83,99,9.53
207,Lavrentiya,RU,2021-08-10 16:04:57,65.5833,-171.0,41.32,82,67,4.32
208,Los Llanos De Aridane,ES,2021-08-10 16:04:57,28.6585,-17.9182,74.95,79,20,4.61
209,Tambura,SS,2021-08-10 16:04:57,5.6,27.4667,72.54,92,95,3.62
210,Gornopravdinsk,RU,2021-08-10 16:04:58,60.05,69.9,58.15,87,100,8.84
211,Hambantota,LK,2021-08-10 16:04:58,6.1241,81.1185,82.74,83,20,11.5
212,Impfondo,CG,2021-08-10 16:04:58,1.6381,18.0667,89.31,43,94,2.04
213,Aykhal,RU,2021-08-10 16:04:59,66.0,111.5,56.41,90,99,5.23
214,Ternate,ID,2021-08-10 16:04:59,0.8,127.4,79.92,82,97,5.08
215,Ulagan,RU,2021-08-10 16:04:59,50.6321,87.9563,54.12,70,52,1.63
216,Rabo De Peixe,PT,2021-08-10 16:05:00,37.8,-25.5833,76.51,73,20,16.11
217,Peekskill,US,2021-08-10 16:03:32,41.2901,-73.9204,83.79,59,70,5.64
218,East London,ZA,2021-08-10 16:05:00,-33.0153,27.9116,60.91,58,0,10.0
219,Tambovka,RU,2021-08-10 16:05:01,50.0969,128.0489,59.11,80,100,6.17
220,Lugo,ES,2021-08-10 16:05:01,43.0,-7.5,81.77,55,0,4.79
221,Fairbanks,US,2021-08-10 16:00:06,64.8378,-147.7164,52.25,94,100,1.63
222,Avera,US,2021-08-10 16:05:01,33.194,-82.5271,91.71,55,99,5.21
223,Vestmannaeyjar,IS,2021-08-10 16:05:03,63.4427,-20.2734,54.59,87,20,19.57
224,Arawa,PG,2021-08-10 16:05:03,-6.2132,155.5367,75.96,90,31,3.44
225,Iqaluit,CA,2021-08-10 16:05:04,63.7506,-68.5145,44.15,76,96,19.69
226,Port Lincoln,AU,2021-08-10 16:00:09,-34.7333,135.8667,56.57,89,100,16.35
227,San Jeronimo,PE,2021-08-10 16:05:05,-11.9472,-75.2829,57.31,37,15,2.55
228,Skibotn,NO,2021-08-10 16:05:05,69.3913,20.2679,62.69,78,99,2.19
229,Provideniya,RU,2021-08-10 16:05:05,64.3833,-173.3,44.33,73,44,3.96
230,Porto Murtinho,BR,2021-08-10 16:05:06,-21.6989,-57.8825,69.73,47,70,7.36
231,Oktyabrskoye,RU,2021-08-10 16:05:06,43.0645,44.7417,78.94,69,6,4.47
232,Liwale,TZ,2021-08-10 16:05:07,-9.7667,37.9333,78.94,35,84,3.56
233,Olavarria,AR,2021-08-10 16:05:07,-36.8927,-60.3225,48.69,42,0,7.49
234,Traverse City,US,2021-08-10 16:00:10,44.7631,-85.6206,75.94,74,74,6.4
235,Cherskiy,RU,2021-08-10 16:05:08,68.75,161.3,35.76,94,32,11.39
236,Kuragino,RU,2021-08-10 16:05:08,53.8975,92.6725,65.26,88,93,9.89
237,Dhidhdhoo,MV,2021-08-10 16:05:09,6.8833,73.1,82.78,74,100,17.27
238,Flinders,AU,2021-08-10 16:05:09,-34.5833,150.8552,58.05,79,0,1.01
239,Kaeo,NZ,2021-08-10 16:05:09,-35.1,173.7833,45.32,93,11,4.61
240,Kanniyakumari,IN,2021-08-10 16:05:10,8.0833,77.5667,80.42,81,99,22.41
241,Kavieng,PG,2021-08-10 16:05:10,-2.5744,150.7967,82.45,74,61,12.95
242,Baykit,RU,2021-08-10 16:05:11,61.67,96.37,61.68,62,77,2.19
243,Paita,PE,2021-08-10 16:05:11,-5.0892,-81.1144,73.96,72,58,12.35
244,Whitehorse,CA,2021-08-10 16:05:12,60.7161,-135.0538,53.02,80,100,9.53
245,Qasigiannguit,GL,2021-08-10 16:05:12,68.8193,-51.1922,55.65,50,100,8.34
246,Mahebourg,MU,2021-08-10 16:05:13,-20.4081,57.7,71.26,84,56,6.08
247,Ilulissat,GL,2021-08-10 16:05:13,69.2167,-51.1,55.42,33,75,16.11
248,Thompson,CA,2021-08-10 16:04:38,55.7435,-97.8558,60.96,88,75,5.75
249,Aswan,EG,2021-08-10 16:05:14,24.0934,32.907,103.44,11,37,12.75
250,Torbay,CA,2021-08-10 16:05:14,47.6666,-52.7314,70.75,64,58,7.0
251,Yar-Sale,RU,2021-08-10 16:05:14,66.8333,70.8333,54.52,66,2,9.91
252,Nishihara,JP,2021-08-10 16:05:15,26.1842,127.7558,82.06,95,75,12.66
253,Alekseyevka,RU,2021-08-10 16:05:15,50.6309,38.6903,79.32,32,100,6.69
254,Fasa,IR,2021-08-10 16:05:15,28.9383,53.6482,94.15,16,91,9.37
255,Menongue,AO,2021-08-10 16:05:16,-14.6585,17.691,83.07,10,0,5.03
256,Hatillo,PR,2021-08-10 16:05:16,18.4863,-66.8254,90.37,68,96,18.97
257,Gazojak,TM,2021-08-10 16:05:16,41.1875,61.4036,88.38,17,0,9.17
258,Ambilobe,MG,2021-08-10 16:05:17,-13.2,49.05,72.82,81,76,2.91
259,Chapleau,CA,2021-08-10 16:05:17,47.8405,-83.4034,71.85,82,95,2.84
260,Saquarema,BR,2021-08-10 16:05:17,-22.92,-42.5103,80.62,59,36,8.75
261,Binabalian,PH,2021-08-10 16:05:18,16.4202,119.9279,80.19,83,100,8.68
262,Saldanha,ZA,2021-08-10 16:05:18,-33.0117,17.9442,54.52,63,0,9.84
263,Karratha,AU,2021-08-10 16:05:19,-20.7377,116.8463,67.78,45,2,21.72
264,Tshikapa,CD,2021-08-10 16:05:19,-6.4167,20.8,95.11,16,4,3.4
265,Shouguang,CN,2021-08-10 16:05:19,36.88,118.7375,70.66,92,96,4.29
266,Raychikhinsk,RU,2021-08-10 16:05:20,49.7838,129.4121,53.22,88,29,4.68
267,Nioro,GM,2021-08-10 16:05:20,13.35,-15.75,86.76,67,92,6.76
268,Farafangana,MG,2021-08-10 16:05:21,-22.8167,47.8333,68.58,81,0,7.78
269,Victoria,HK,2021-08-10 16:04:04,22.2855,114.1577,86.32,84,100,8.05
270,Yerbogachen,RU,2021-08-10 16:05:21,61.2767,108.0108,65.08,57,91,2.21
271,Shimoda,JP,2021-08-10 16:05:21,34.6667,138.95,78.26,81,9,12.88
272,Atasu,KZ,2021-08-10 16:05:22,48.6814,71.6433,69.51,57,69,9.75
273,Sao Filipe,CV,2021-08-10 16:05:22,14.8961,-24.4956,78.31,77,81,9.48
274,Bengkulu,ID,2021-08-10 16:02:45,-3.8004,102.2655,76.51,90,75,5.48
275,Lorengau,PG,2021-08-10 16:05:22,-2.0226,147.2712,80.56,79,80,5.23
276,Walvis Bay,NA,2021-08-10 16:05:23,-22.9575,14.5053,56.08,64,25,4.59
277,Huarmey,PE,2021-08-10 16:05:23,-10.0681,-78.1522,68.47,68,21,11.14
278,Qiyang,CN,2021-08-10 16:05:23,26.5911,111.8474,80.17,92,100,2.73
279,Kamenka,RU,2021-08-10 16:05:24,51.3223,42.7678,85.14,27,98,8.48
280,Anloga,GH,2021-08-10 16:05:24,5.7947,0.8973,77.61,81,100,15.17
